source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_weighted_win_rate	p_mean_advantage	p_weighted_advantage	p_top1_win	p_top1_advantage	p_prime_win_rate	p_prime_weighted_win_rate	p_prime_mean_advantage	p_prime_weighted_advantage	p_prime_top1_win	p_prime_top1_advantage	both_mean_advantages_positive	both_top1_own_context_wins
not	meaning_control	0	5	not	h	50	50	0	0.0	1.0	1.0	12.404100353717803	2.5273109843051205	1.0	17.40329897403717	1.0	1.0	11.553342173099518	5.97032464768366	1.0	16.27057182788849	True	True
not	meaning_control	1	7	not	h	50	50	0	0.0	0.9	0.8944602636930017	3.8350656843185424	0.8340606567855019	1.0	0.1645493507385254	0.92	0.9980255957374058	4.14273909330368	1.8608071924623502	1.0	3.392394781112671	True	True
not	meaning_control	2	15	not	h	50	50	0	0.0	1.0	1.0	16.674707498550415	13.423659454343639	1.0	13.438352346420288	1.0	1.0	32.18600414276123	14.385071944461501	1.0	28.63020098209381	True	True
not	meaning_control	3	71	not	h	50	50	0	0.0	0.98	0.9599704570990537	6.388476645946502	3.5364706046327727	1.0	5.264093637466431	0.92	0.9997035284773604	7.612546513080597	7.34703014806056	1.0	9.36991024017334	True	True
not	meaning_control	4	81	not	h	50	50	0	0.0	1.0	1.0	18.936139690876008	17.863537718135294	1.0	19.976884841918945	1.0	1.0	34.39374361753464	31.932108975136654	1.0	31.83718776702881	True	True
not	meaning_control	5	226	not	h	50	50	0	0.0	1.0	1.0	7.829644539356232	5.299387199676586	1.0	5.399228572845459	0.98	1.0	13.69319009065628	11.978610445791203	1.0	18.2369624376297	True	True
not	meaning_control	6	244	not	h	50	50	0	0.0	1.0	1.0	26.139069635868072	12.782419415892537	1.0	28.50608265399933	1.0	1.0	28.715223925113676	29.383202251152863	1.0	41.98090934753418	True	True
not	meaning_control	7	272	not	h	50	50	0	0.0	1.0	1.0	6.308699100017548	3.4717496943188086	1.0	1.821844696998596	0.98	0.99996547005746	8.77756174325943	2.18764996564853	1.0	10.03742265701294	True	True
not	meaning_control	8	302	not	h	50	50	0	0.0	0.94	0.9960103350254479	2.347203481197357	1.8904529758135873	1.0	1.716965913772583	0.76	0.17692074266687163	1.3490161275863648	-0.6345181453725817	1.0	0.2088410854339599	True	True
not	meaning_control	9	309	not	h	50	50	0	0.0	0.98	0.9999983812715825	6.3947538566589355	3.8597666819563234	1.0	1.2665917873382568	0.98	0.9995758833129845	20.19229645013809	9.691627401735127	1.0	29.53445219993592	True	True
not	meaning_control	10	319	not	h	50	50	0	0.0	1.0	1.0	33.70042724370956	34.45319731463866	1.0	41.95404934883118	1.0	1.0	28.193025364875794	27.40977542247575	1.0	20.383028507232662	True	True
not	meaning_control	11	367	not	h	50	50	1	0.010101010101010102	0.86	0.9999785940437704	3.562812509536743	6.690821954611345	1.0	10.706648468971252	0.88	0.7022262537360421	4.439193015098572	1.132731746586091	1.0	3.830251455307007	True	True
not	meaning_control	12	379	not	h	50	50	0	0.0	1.0	1.0	19.392340080738066	10.656858069358956	1.0	8.167556643486023	1.0	1.0	30.189951956272125	24.32535619735847	1.0	30.30331289768219	True	True
not	meaning_control	13	383	not	h	50	50	0	0.0	0.94	0.9999999830499163	5.326754937171936	4.319379585553958	1.0	5.980747580528259	0.96	0.878862832294057	9.473442585468293	1.1085149453931578	1.0	14.063393473625185	True	True
not	meaning_control	14	460	not	h	50	50	0	0.0	1.0	1.0	14.270373873710632	12.288741061829757	1.0	16.123642921447754	1.0	1.0	27.94850155591965	20.91347527521843	1.0	28.29018104076385	True	True
not	meaning_control	15	686	not	h	50	50	0	0.0	0.92	0.4997225341560324	12.53281210899353	4.634476550795167	1.0	19.47379434108734	1.0	1.0	9.327617254257202	5.440190190287527	1.0	1.036158323287964	True	True
not	meaning_control	16	698	not	h	50	50	0	0.0	1.0	1.0	12.103203144073486	5.130170027862656	1.0	6.978659391403198	0.96	0.9999833973003683	19.68372394323349	24.748012195405554	1.0	39.14640522003174	True	True
not	meaning_control	17	702	not	h	50	50	0	0.0	0.72	0.009266231771567532	0.8103779196739197	-0.42006934350259506	1.0	1.834134101867676	0.64	0.99997818108463	0.4857023024559021	1.5878466201428987	1.0	1.3195013999938965	True	True
not	meaning_control	18	729	not	h	50	50	0	0.0	1.0	1.0	29.47994796037674	16.200293392835547	1.0	22.99224483966828	1.0	1.0	32.48120265245438	35.12138735059434	1.0	37.62235617637634	True	True
not	meaning_control	19	768	not	h	50	50	0	0.0	1.0	1.0	14.117048983573914	10.074987882273994	1.0	13.30853796005249	1.0	1.0	19.641951463222505	12.401514821400209	1.0	19.87255954742432	True	True
not	meaning_control	20	865	not	h	50	50	0	0.0	1.0	1.0	12.340232636928558	4.411406582061949	1.0	21.70410478115081	0.98	0.9999913225748358	14.458687443733215	2.0656081739689194	1.0	2.72040593624115	True	True
not	meaning_control	21	949	not	h	50	50	0	0.0	1.0	1.0	21.25708760499954	8.571861560674492	1.0	20.80655670166016	1.0	1.0	32.97073662519455	29.62812542590155	1.0	30.4861524105072	True	True
not	meaning_control	22	969	not	h	50	50	0	0.0	0.94	0.9999781579239221	2.323568706512451	1.9940341580314662	1.0	2.361411571502685	0.84	0.28081384926180497	2.8072087717056275	0.2034292252282056	1.0	2.9631643295288086	True	True
not	meaning_control	23	1154	not	h	50	50	1	0.010101010101010102	0.58	0.10772732130506471	0.4799912261962891	-0.6147158401880429	1.0	1.1252772808074951	0.72	0.754950947384932	0.7742142534255981	0.3853207981145985	1.0	1.109528422355652	True	True
not	meaning_control	24	1570	not	h	50	50	0	0.0	0.98	1.0	8.396993017196655	4.883285721960748	0.0	-0.5724529027938843	0.94	0.9999060504630507	5.944834794998169	0.5653711281907253	1.0	6.413570165634155	True	False
not	meaning_control	25	1602	not	h	50	50	0	0.0	0.98	0.9999998240813444	4.2600788450241085	4.357970196519053	1.0	2.9528521299362183	0.98	0.9999999999999957	5.242405133247376	3.3965591731572973	1.0	9.44611632823944	True	True
not	meaning_control	26	1647	not	h	50	50	0	0.0	1.0	1.0	14.528745341300965	12.85369145571034	1.0	23.624151945114136	1.0	1.0	21.53813221693039	1.964704744739746	1.0	30.05642592906952	True	True
not	meaning_control	27	1686	not	h	50	50	0	0.0	1.0	1.0	17.095975365638733	13.781358742426129	1.0	17.88902235031128	1.0	1.0	24.052301740646364	23.354911142214917	1.0	31.1513946056366	True	True
not	meaning_control	28	1697	not	h	50	50	0	0.0	0.74	0.0005268689956477341	1.809740710258484	-2.053471071456281	1.0	3.924469947814941	0.98	0.9999999913177741	5.373367002010346	5.745423437714532	1.0	4.2924535274505615	True	True
