source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_weighted_win_rate	p_mean_advantage	p_weighted_advantage	p_top1_win	p_top1_advantage	p_prime_win_rate	p_prime_weighted_win_rate	p_prime_mean_advantage	p_prime_weighted_advantage	p_prime_top1_win	p_prime_top1_advantage	both_mean_advantages_positive	both_top1_own_context_wins
just	discourse_particle	0	1157	just	h	50	50	3	0.030927835051546393	0.68	0.8876939356313535	0.5745148468017578	0.9508297114742302	1.0	1.880755424499512	0.54	0.4274280343712487	0.16769748926162723	0.038689370420169795	1.0	0.0201772451400756	True	True
just	discourse_particle	1	5467	just	h	50	50	1	0.010101010101010102	0.86	0.9962639106281277	1.7088811874389649	2.3628354319185982	1.0	3.0513802766799927	0.72	0.03745452031047846	2.3541450834274293	-1.5601009208444865	1.0	2.6892842054367065	True	True
just	discourse_particle	2	2485	just	h	50	50	3	0.030927835051546393	0.94	0.7108910982223761	0.5977164745330811	0.18151911964998965	1.0	0.1124356985092163	0.62	0.43914096302693906	0.5207073259353637	-0.04983000872270592	1.0	0.6819758415222168	True	True
just	discourse_particle	3	2798	just	h	50	50	0	0.0	1.0	1.0	5.5299335479736325	3.9472864644883376	1.0	8.558210492134094	0.94	0.7825437600973277	9.349606909751891	0.9298090136359818	1.0	6.034928798675537	True	True
just	discourse_particle	4	1627	just	h	50	50	1	0.010101010101010102	0.66	0.2702834380446409	0.24103274583816528	0.020512770448365764	1.0	0.254666805267334	0.6	0.9353672399918885	0.10246640682220458	0.08105109607591425	0.0	-0.3146322965621948	True	False
just	discourse_particle	5	4508	just	h	50	50	0	0.0	0.84	0.19367464307874918	2.3853810620307923	0.06611056514887395	0.0	-0.6543426513671875	0.94	0.867155204410263	3.520397036075592	1.8110821537481856	1.0	1.63457989692688	True	False
just	discourse_particle	6	638	just	h	50	50	2	0.02040816326530612	0.66	0.9043900624163322	0.9139221954345703	0.8991048746410127	1.0	1.5910916328430176	0.66	0.5751957210235351	0.9547423601150513	0.39061645457493516	0.0	-0.659379243850708	True	False
just	discourse_particle	7	8659	just	h	50	50	0	0.0	0.66	0.24909311153302263	0.08468771934509277	-0.16730534826164717	1.0	0.6629091501235962	0.7	0.9950125669686	0.314278564453125	0.22523845361382805	1.0	0.3243166208267212	True	True
just	discourse_particle	8	6078	just	h	50	50	0	0.0	0.66	0.9282834615854644	0.3689197897911072	1.1544664534901257	1.0	0.3507720232009887	0.8	0.9919557295476824	0.6634199476242065	1.3567813670711055	1.0	1.924685955047608	True	True
just	discourse_particle	9	9954	just	h	50	50	0	0.0	0.68	0.438724362797906	0.13020583868026733	-0.05637808554936886	0.0	-0.2826880216598511	0.46	0.8213749977846051	0.011919565200805664	0.29452114794736906	0.0	-0.2540831565856933	True	False
