source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_weighted_win_rate	p_mean_advantage	p_weighted_advantage	p_top1_win	p_top1_advantage	p_prime_win_rate	p_prime_weighted_win_rate	p_prime_mean_advantage	p_prime_weighted_advantage	p_prime_top1_win	p_prime_top1_advantage	both_mean_advantages_positive	both_top1_own_context_wins
just	discourse_particle	0	1157	just	h	50	50	1	0.010101010101010102	0.56	0.9976589896530458	-0.013731155395507812	0.2091428565140324	0.0	-0.052734375	0.54	0.6415600535010052	0.07946844339370727	0.2062011008620372	1.0	0.3931884765625	False	False
just	discourse_particle	1	5467	just	h	50	50	4	0.041666666666666664	0.66	0.6314001750234024	0.2707029724121094	0.26910573719349973	1.0	0.466552734375	0.52	0.3328805452041767	0.04433640956878662	-0.16955814144355266	1.0	0.247314453125	True	True
just	discourse_particle	2	2485	just	h	50	50	0	0.0	0.66	0.9930184221342995	0.16258182048797606	0.4327996083741057	1.0	0.592132568359375	0.58	0.012891933832543008	0.11431733131408692	-0.1104994410194845	0.0	-0.40985107421875	True	False
just	discourse_particle	3	2798	just	h	50	50	0	0.0	0.74	0.17415088843988763	0.9126613473892212	0.29114569045685607	1.0	1.6513671875	0.68	0.05006813206601746	0.8119373035430908	0.03381895343256022	0.0	-1.5302734375	True	False
just	discourse_particle	4	1627	just	h	50	50	5	0.05263157894736842	0.74	0.013517719522232309	0.23098403930664063	-0.13667055620875024	1.0	0.511474609375	0.46	0.9644943452097645	-0.021451072692871095	0.13992158284203707	1.0	0.0078125	False	True
just	discourse_particle	5	4508	just	h	50	50	8	0.08695652173913043	0.5	0.9308483876797942	0.06933926105499268	0.13891293516796405	1.0	0.08837890625	0.6	0.5700941492709073	0.3790286993980408	-0.05059510334279776	0.0	-0.562896728515625	True	False
just	discourse_particle	6	638	just	h	50	50	0	0.0	0.5	0.00880362609898438	0.1662752723693848	-0.1683358361198432	0.0	-0.2128181457519531	0.68	0.9498775879597775	0.2587577342987061	0.6036521018268393	1.0	0.099853515625	True	False
just	discourse_particle	7	8659	just	h	50	50	0	0.0	0.7	0.869583737596402	0.3235290932655335	0.40891727092790664	1.0	0.522216796875	0.58	0.05742766859164094	0.11923037528991699	-0.5950291088214293	1.0	0.239501953125	True	True
just	discourse_particle	8	6078	just	h	50	50	0	0.0	0.46	0.8699562275006387	-0.007743968963623047	0.6830255899582043	0.0	-0.4591827392578125	0.74	0.2968404264963111	0.4188704538345337	-0.00870034389371403	1.0	0.520944356918335	False	False
just	discourse_particle	9	9954	just	h	50	50	3	0.030927835051546393	0.8	0.7891017128572287	0.4017989730834961	0.06378165551271753	1.0	1.002685546875	0.48	0.008019134878705177	-0.04766757965087891	-0.07264230930535179	1.0	0.07183837890625	False	True
just	discourse_particle	10	5138	just	h	50	50	1	0.010101010101010102	0.5	0.2785013165264052	0.09787261247634887	-0.023446639398885746	0.0	-0.1904296875	0.6	0.3616707664413362	0.10766932964324952	-0.03738512964282616	1.0	0.6641845703125	True	False
just	discourse_particle	11	498	just	h	50	50	0	0.0	0.62	0.985757510318811	0.18943191528320313	0.2648372184496078	0.0	-0.1324462890625	0.6	0.750037686966879	0.2866688919067383	0.08624053285353914	1.0	1.2512130737304688	True	False
just	discourse_particle	12	7769	just	h	50	50	2	0.02040816326530612	0.38	0.04438061209831744	0.08256213426589966	-0.24005006467631937	1.0	2.8706283569335938	0.7	0.20083943004875668	0.1440190863609314	-0.16617905618073248	1.0	0.6259765625	True	True
