source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_weighted_win_rate	p_mean_advantage	p_weighted_advantage	p_top1_win	p_top1_advantage	p_prime_win_rate	p_prime_weighted_win_rate	p_prime_mean_advantage	p_prime_weighted_advantage	p_prime_top1_win	p_prime_top1_advantage	both_mean_advantages_positive	both_top1_own_context_wins
not	meaning_control	0	5	not	h	50	50	0	0.0	0.66	0.9982244894470379	1.1358702731132508	0.567723555921705	1.0	0.85882568359375	0.64	0.04146408901427503	0.6492333793640137	-0.3595078272951822	1.0	0.4591617584228515	True	True
not	meaning_control	1	7	not	h	50	50	0	0.0	0.78	0.8903773920911583	0.6479532957077027	0.1591246706871407	0.0	-0.4443359375	0.66	0.8639020927406995	0.24748068809509277	0.1459432503956718	1.0	0.056640625	True	False
not	meaning_control	2	15	not	h	50	50	0	0.0	0.88	0.9909603774994851	0.9083230590820313	0.7358600288434325	1.0	1.263580322265625	0.72	0.8662979078446922	1.2099622344970704	0.8876267567424931	1.0	0.9365234375	True	True
not	meaning_control	3	71	not	h	50	50	0	0.0	0.78	0.9324174982935569	0.5501807308197022	0.24373708464227892	1.0	0.4423828125	0.56	0.0427350908931927	0.2566161417961121	-0.15252985642424596	1.0	0.4931640625	True	True
not	meaning_control	4	81	not	h	50	50	0	0.0	0.72	0.9424269421027955	1.7534769439697266	3.378010026679309	1.0	2.98211669921875	0.76	0.9655491147470825	1.0455520248413086	0.6154683110612134	1.0	1.83935546875	True	True
not	meaning_control	5	226	not	h	50	50	0	0.0	0.7	0.17857276000606964	0.6740500926971436	-0.43736028027647866	0.0	-1.9163818359375	0.64	0.9999910855435293	0.6612857818603516	1.2686822114279073	0.0	-0.4554443359375	True	False
not	meaning_control	6	244	not	h	50	50	0	0.0	0.78	0.8624745155323339	0.48097930908203124	0.5301626534424021	1.0	0.55859375	0.72	0.9833725633199145	0.5997037982940674	0.37671071225286024	0.0	-0.543060302734375	True	False
not	meaning_control	7	272	not	h	50	50	0	0.0	0.58	0.702237986970442	0.1807710576057434	0.39869939887983274	1.0	0.8471546173095703	0.64	0.9999447643647934	0.2496245574951172	0.8572652099962482	1.0	0.245513916015625	True	True
not	meaning_control	8	302	not	h	50	50	0	0.0	0.52	0.16772237477905055	0.07080934286117553	-0.12057502811164719	1.0	0.491455078125	0.68	0.9999562986384574	0.20647156715393067	0.2661419268039345	0.0	-0.2398681640625	True	False
not	meaning_control	9	309	not	h	50	50	0	0.0	0.62	0.7051878719381511	0.18191381454467773	0.1090814354004727	0.0	-0.4009771347045898	0.62	0.10672089670899093	0.23159265518188477	-0.5907796463891544	0.0	-0.50146484375	True	False
